,Common_Name,Family,USDA_hardiness,Known_Hazards,Habitats,Range,Edibility_Rating,Other_Uses,Weed_Potential,Medicinal_Rating,species,Care,ID,URL,common_name,edibility,Uses,Endangered,Invasive,lookslike,picslist,leaf,flower,fruit,twig,bark,form,family,genus,symbol,range,07_Class,08_Subclass,09_Order,10_Family,11_Genus,12_Species,13_Variety,14_Variety,tsn,08_Superorder,15_Variety,16_Variety,17_Variety,18_Variety,19_Variety,01_Species,13_Subspecies,14_Subspecies,01_Variety,15_Subspecies,01_Subspecies,16_Subspecies,17_Subspecies,18_Subspecies
80,,,,,,,,,,,Chionanthus virginicus,,80,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=27,fringetree,,,,,"[['buttonbush', 'factsheet.cfm?ID=179'], ['common sweetshrub', 'factsheet.cfm?ID=197'], ['green ash', 'factsheet.cfm?ID=48'], ['American beautyberry', 'factsheet.cfm?ID=341']]","['../images/Chionanthus virginicus/latin.wav', '../images/Chionanthus virginicus/leaf1.jpg', '../images/Chionanthus virginicus/flower1.jpg', '../images/Chionanthus virginicus/fruit1.jpg', '../images/Chionanthus virginicus/twig1.jpg', '../images/Chionanthus virginicus/bark1.jpg', '../images/Chionanthus virginicus/form1.jpg', '../images/Chionanthus virginicus/map.jpg', '../images/Chionanthus virginicus/map.pdf', '../images/Chionanthus virginicus/fall.jpg']","Opposite or sometimes partially opposite, simple, ovate to elliptical, 4 to 8 inches long, pinnately-veined in shape with an entire margin, somewhat thickened, green above and paler below.","Species is dioecious or polygamo-dioecious; very showy, 1 inch long with a 4-lobed, white corolla, very fragrant, with many hanging from a long, 4 to 8 inch stalk (resemble a long white beard); appear in late spring.","Ovoid drupe, 3/4 inch long, dark blue to nearly black with a fleshy pulp that encloses a large, stone seed, ripen in late summer.","Moderately stout, ashy-gray in color, smooth or downy, with scatterd warty lenticels; large, brown, broadly conical terminal bud; leaf scar with one bundle scar.","Dark gray-brown in color, becoming somewhat furrowed with reddish scales.","A small tree or a large suckering shrub reaching up to 25 feet tall with opposite branches, a short trunk and a narrow, oblong crown.",Oleaceae,Chionanthus,CHVI3,Chionanthus virginicus is native to North America. Range may be expanded by planting.,Magnoliopsida,,Lamiales,Oleaceae,Chionanthus,Chionanthus virginicus,,,32950.0,Asteranae,,,,,,,,,,,,,,
81,,,,,,,,,,,Cladrastis kentukea,,81,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=278,yellowwood,,,,,"[['Amur corktree', 'factsheet.cfm?ID=356'], ['Japanese pagoda tree', 'factsheet.cfm?ID=320']]","['../images/Cladrastis kentukea/latin.wav', '../images/Cladrastis kentukea/leaf1.jpg', '../images/Cladrastis kentukea/flower1.jpg', '../images/Cladrastis kentukea/fruit1.jpg', '../images/Cladrastis kentukea/twig1.jpg', '../images/Cladrastis kentukea/bark1.jpg', '../images/Cladrastis kentukea/form1.jpg', '../images/Cladrastis kentukea/map.jpg', '../images/Cladrastis kentukea/map.pdf', '../images/Cladrastis kentukea/fall.jpg']","Alternate, pinnately compound, but individual leaflets sub-opposite, 5 to 9 leaflets (usually 7), entire margins, 8 to 12"" long, each leaflet obovate to oblong-obovate, green upper surface, paler below.","Perfect, pea-like, creamy to white, somewhat fragrant, borne in 8 to 14"" long hanging cluster, appearing in late spring to early summer.","Flat brown pod, 2 to 4 inches long, 1/2 inch wide, containing small, brown, hard-coated seeds, ripening in early fall, persistent.","Moderately stout, smooth, shiny, red-brown with numerous lighter lenticels, zig-zag, leaf scar nearly encircling the bud; bud is a broad cone, with fuzzy brown hairs.","Very smooth, often wrinkled, thin, gray.","Medium sized tree, reaching 50 feet in height, wide spreading crown, typically low branching.",Fabaceae,Cladrastis,CLKE,Cladrastis kentukea is native to North America. Range may be expanded by planting.,Magnoliopsida,,Fabales,Fabaceae,Cladrastis,Cladrastis kentukea,,,26539.0,Rosanae,,,,,,,,,,,,,,
82,,,,,,,,,,,Clematis crispa,,82,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=1065,swamp leather flower,,,,,"[['sweetautumn clematis', 'factsheet.cfm?ID=494'], [""virgin's bower"", 'factsheet.cfm?ID=1011']]","['../images/Clematis crispa/latin.wav', '../images/Clematis crispa/leaf1.jpg', '../images/Clematis crispa/flower1.jpg', '../images/Clematis crispa/fruit1.jpg', '../images/Clematis crispa/twig1.jpg', '../images/Clematis crispa/map.jpg', '../images/Clematis crispa/map.pdf']","Opposite, deciduous to nearly evergreen, simple, bifoliate, trifoliate, or pinnate; individual leaflets oval to nearly lanceolate with entire margins, usually lacking lobes but sometimes lobed near the tip; mostly glabrous.","Genus is usually dioecious; showy, 1 to 2 inches, nodding, white to lavender bell-shaped flowers with 4 pointed and recurved sepals; appearing spring to summer, and sometimes flowering twice.","Small dry brown seeds with a long plume, borne in thin pompom-like heads.","Initially green, and changing to red-brown, ridged, wiry, mostly glabrous, climbs by twining.","Initially smooth and red-brown, later developing long splits.",A creeping or low-climbing vine to 10 feet.,Ranunculaceae,Clematis,CLCR,Clematis crispa is native to North America. Range may be expanded by planting.,Magnoliopsida,,Ranunculales,Ranunculaceae,Clematis,Clematis crispa,,,18694.0,Ranunculanae,,,,,,,,,,,,,,
83,,,,,,,,,,,Clematis terniflora,,83,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=494,sweetautumn clematis,,,,,"[[""virgin's bower"", 'factsheet.cfm?ID=1011'], ['swamp leather flower', 'factsheet.cfm?ID=1065']]","['../images/Clematis terniflora/latin.wav', '../images/Clematis terniflora/leaf1.jpg', '../images/Clematis terniflora/flower1.jpg', '../images/Clematis terniflora/fruit1.jpg', '../images/Clematis terniflora/bark1.jpg', '../images/Clematis terniflora/form1.jpg', '../images/Clematis terniflora/map.jpg', '../images/Clematis terniflora/map.pdf', '../images/Clematis terniflora/fall.jpg']","Opposite, evergreen to deciduous farther north, pinnately compound with five leaflets or trifoliate, individual leaflets more or less cordate with entire margins, 2 to 4 inches long; shiny green above and paler below; both the long petiolules and the rachis commonly wrap around other structures to aid in climbing.","Species is monoecious; fragrant and showy, described as refreshing, white with 4 sepals, 1 inch across, borne on branching panicles, present late summer and early fall.","Small dry brown seeds with a long white feathery plume, borne in thin dandelion-like heads, maturing in the fall, can be nearly as showy as the flowers.","Initially green, and changing to brown, numerous ridges, wiry, climbs by twining.","Initially smooth and light brown, later developing long splits and shreddy long strips.","A climbing vine that can completely overtake its supporting stucture in a dense tangle, to 30 feet and a main stem diameter of 4 inches.",Ranunculaceae,Clematis,CLTE4,,Magnoliopsida,,Ranunculales,Ranunculaceae,Clematis,Clematis terniflora,,,18712.0,Ranunculanae,,,,,,,,,,,,,,
84,,,,,,,,,,,Clematis virginiana,,84,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=1011,virgin's bower,,,,,"[['sweetautumn clematis', 'factsheet.cfm?ID=494'], ['swamp leather flower', 'factsheet.cfm?ID=1065']]","['../images/Clematis virginiana/latin.wav', '../images/Clematis virginiana/leaf1.jpg', '../images/Clematis virginiana/flower1.jpg', '../images/Clematis virginiana/form1.jpg', '../images/Clematis virginiana/map.jpg', '../images/Clematis virginiana/map.pdf']","Opposite, deciduous, trifoliate (sometimes pinnate with 5 leaflets), individual leaflets ovate with toothed margins, 2 to 4 inches long; shiny green above and paler below; both the long petiolules and the rachis commonly wrap around other structures to aid in climbing.","Species is monoecious; fragrant and showy, white with 4 sepals, 3/4 inch across, borne on panicles, present late summer.","Small dry brown seeds with a long white feathery plume, borne in thin dandelion-like heads, maturing in the fall, can be nearly as showy as the flowers.","Initially green, changing to red-brown, numerous ridges, wiry, climbs by twining.","Initially smooth and light brown, later developing long splits and shreddy long strips.","A climbing vine that can completely overtake its supporting stucture in a dense tangle, to 20 feet.",Ranunculaceae,Clematis,CLVI5,Clematis virginiana is native to North America. Range may be expanded by planting.,Magnoliopsida,,Ranunculales,Ranunculaceae,Clematis,Clematis virginiana,,,18716.0,Ranunculanae,,,,,,,,,,,,,,
85,,,,,,,,,,,Clethra alnifolia,,85,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=279,summersweet clethra,,,,,"[['sweetspire', 'factsheet.cfm?ID=291'], ['swamp doghobble', 'factsheet.cfm?ID=467'], ['coast leucothoe', 'factsheet.cfm?ID=346'], ['fetterbush lyonia', 'factsheet.cfm?ID=360']]","['../images/Clethra alnifolia/latin.wav', '../images/Clethra alnifolia/leaf1.jpg', '../images/Clethra alnifolia/flower1.jpg', '../images/Clethra alnifolia/fruit1.jpg', '../images/Clethra alnifolia/twig1.jpg', '../images/Clethra alnifolia/bark1.jpg', '../images/Clethra alnifolia/form1.jpg', '../images/Clethra alnifolia/map.jpg', '../images/Clethra alnifolia/map.pdf', '../images/Clethra alnifolia/fall.jpg']","Alternate, simple, finely serrated margin, obovate, 2 to 3 1/2 inches long, glabrous, shiny dark green above, paler below.","Small white flowers occurring in dense clusters on long 3 to 6 inch terminal spikes, appearing in mid to late summer.","Brown dry capsules, occurring in long clusters, persistent through the winter.","Slender and scruffy brown; buds with loose scales, the terminal is much larger than the laterals; leaf scar with one bundle scar.","Grayish, eventually separating into loose strips.","Dense shrub up to 10 feet tall, often root suckers to form thickets.",Clethraceae,Clethra,CLAL3,Clethra alnifolia is native to North America. Range may be expanded by planting.,Magnoliopsida,,Ericales,Clethraceae,Clethra,Clethra alnifolia,,,23454.0,Asteranae,,,,,,,,,,,,,,
86,,,,,,,,,,,Comptonia peregrina,,86,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=869,sweetfern,,,,,[],"['../images/Comptonia peregrina/latin.wav', '../images/Comptonia peregrina/leaf1.jpg', '../images/Comptonia peregrina/flower1.jpg', '../images/Comptonia peregrina/fruit1.jpg', '../images/Comptonia peregrina/twig1.jpg', '../images/Comptonia peregrina/bark1.jpg', '../images/Comptonia peregrina/form1.jpg', '../images/Comptonia peregrina/map.jpg', '../images/Comptonia peregrina/map.pdf', '../images/Comptonia peregrina/fall.jpg']","Alternate, simple leaf, linear, 2 to 4 inches long, 1/3 to 1/2 inch wide, coarsely irregularly toothed, tight arrangement on twigs causes them to resemble ferns, dark green above, a bit paler below, very fragrant.","Species is monoecious; females short rounded catkin with reddish bracts, males elongated, yellow-green catkins in clusters at twig ends, appear in spring.","Round, bur-like cluster of ovoid nutlets, brown when mature in late summer.","Slender, gray-brown, fuzzy; buds round, plump, male catkins present in the winter, resin dots often present.","Smooth, shiny reddish brown, heavily lenticeled.","A small, densely branched shrub reaching 2 to 4 feet in height, spreads with rhizomes.",Myricaceae,Comptonia,COPE80,Comptonia peregrina is native to North America. Range may be expanded by planting.,Magnoliopsida,,Fagales,Myricaceae,Comptonia,Comptonia peregrina,,,501619.0,Rosanae,,,,,,,,,,,,,,
87,,,,,,,,,,,Cornus alternifolia,,87,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=146,alternate-leaf dogwood,,,,,"[['flowering dogwood', 'factsheet.cfm?ID=44'], ['roughleaf dogwood', 'factsheet.cfm?ID=852'], ['silky dogwood', 'factsheet.cfm?ID=28'], ['red-osier dogwood', 'factsheet.cfm?ID=207']]","['../images/Cornus alternifolia/latin.wav', '../images/Cornus alternifolia/leaf1.jpg', '../images/Cornus alternifolia/flower1.jpg', '../images/Cornus alternifolia/fruit1.jpg', '../images/Cornus alternifolia/twig1.jpg', '../images/Cornus alternifolia/bark1.jpg', '../images/Cornus alternifolia/form1.jpg', '../images/Cornus alternifolia/map.jpg', '../images/Cornus alternifolia/map.pdf', '../images/Cornus alternifolia/fall.jpg']","Alternate, simple, oval to ovate, 2 1/2 to 5 inches long, arcuate venation, leaves tend to cluster near branch tips so they may appear whorled or opposite, margins may be somewhat wavy, green above and paler below.","Species is monoecious; small, white, in flat-topped clusters, 2 to 4 inches across, appearing in late spring.","Bluish-black drupe in clusters, (3/8 inch in diameter); fruit stalks turn reddish, ripen in late summer.","Slender, red to dark purple, pith white; terminal buds small (1/4 inch long), ovoid with two or three scales showing, leaf scars small and narrow; dead twigs turn a yellow-orange.","Smooth, dark green, streaky; eventually turns light brown and develops shallow fissures.","Large shrub, may occasionally reach 30 feet tall; slender branches often horizontal with the ground; developing a flat-topped crown.",Cornaceae,Cornus,COAL2,Cornus alternifolia is native to North America. Range may be expanded by planting.,Magnoliopsida,,Cornales,Cornaceae,Cornus,Cornus alternifolia,,,27813.0,Asteranae,,,,,,,,,,,,,,
88,,,,,,,,,,,Cornus amomum,,88,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=28,silky dogwood,,,,,"[['red-osier dogwood', 'factsheet.cfm?ID=207'], ['roughleaf dogwood', 'factsheet.cfm?ID=852'], ['gray dogwood', 'factsheet.cfm?ID=821'], ['flowering dogwood', 'factsheet.cfm?ID=44']]","['../images/Cornus amomum/latin.wav', '../images/Cornus amomum/leaf1.jpg', '../images/Cornus amomum/flower1.jpg', '../images/Cornus amomum/fruit1.jpg', '../images/Cornus amomum/twig1.jpg', '../images/Cornus amomum/bark1.jpg', '../images/Cornus amomum/form1.jpg', '../images/Cornus amomum/map.jpg', '../images/Cornus amomum/map.pdf', '../images/Cornus amomum/fall.jpg']","Opposite, simple, oval, 2 to 4 inches long, arcuately veined, margin entire, green above and maybe silky grayish when young, paler below.","Species is monoecious; small, white, in flat-topped clusters, 2 inches in diameter that appear in late spring and early summer.","Berry-like drupes developing in flat-topped clusters, 1/4 inch in diameter, bluish with white blotches, maturing in late summer.","Red-purple (may be green-tinged), bearing silky gray hairs with a salmon colored pith, buds are narrow, pointed, hairy, sessile, and close to the stem.",At first red-purple (but may be green tinged); later turns brown and shallowly fissured.,"A small to medium sized, multi-stemmed, suckering shrub up to 10 feet tall.",Cornaceae,Cornus,COAM2,Cornus amomum is native to North America. Range may be expanded by planting.,Magnoliopsida,,Cornales,Cornaceae,Cornus,Cornus amomum,,,27799.0,Asteranae,,,,,,,Cornus amomum ssp. amomum,Cornus amomum ssp. obliqua,,,,,,
89,,,,,,,,,,,Cornus canadensis,,89,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=432,bunchberry,,,,,"[['teaberry', 'factsheet.cfm?ID=148']]","['../images/Cornus canadensis/latin.wav', '../images/Cornus canadensis/leaf1.jpg', '../images/Cornus canadensis/flower1.jpg', '../images/Cornus canadensis/fruit1.jpg', '../images/Cornus canadensis/form1.jpg', '../images/Cornus canadensis/map.jpg', '../images/Cornus canadensis/map.pdf']","Opposite (almost appearing whorled in a group of 4 to 6), simple, 2 to 3 inches long, (leaves lower on the stem much smaller and almost scale-like) arcuately veined, entire margin, dark green above, paler below, very short petiole.","Species is monoecious; very small, white, surrounded by 4 large, white petal-like bracts, similar to flowering dogwood but smaller, appearing in late spring.","Bright red berry in a tight cluster, each 1/3 inch across, terminal clusters occur on a slender stem, ripen in late summer.","Barely woody except at the base, green.",,"Very short, 4 to 6 inches tall ending in a cluster of 4 to 6 leaves.",Cornaceae,Cornus,COCA13,Cornus canadensis is native to North America. Range may be expanded by planting.,Magnoliopsida,,Cornales,Cornaceae,Cornus,Cornus canadensis,,,27816.0,Asteranae,,,,,,,,,,,,,,
90,,,,,,,,,,,Cornus florida,,90,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=44,flowering dogwood,,,,,"[['silky dogwood', 'factsheet.cfm?ID=28'], ['blackhaw', 'factsheet.cfm?ID=129'], ['alternate-leaf dogwood', 'factsheet.cfm?ID=146'], ['kousa dogwood', 'factsheet.cfm?ID=133']]","['../images/Cornus florida/latin.wav', '../images/Cornus florida/leaf1.jpg', '../images/Cornus florida/flower1.jpg', '../images/Cornus florida/fruit1.jpg', '../images/Cornus florida/twig1.jpg', '../images/Cornus florida/bark1.jpg', '../images/Cornus florida/form1.jpg', '../images/Cornus florida/map.jpg', '../images/Cornus florida/map.pdf', '../images/Cornus florida/fall.jpg', '../images/Cornus florida/wood.jpg']","Opposite, simple, 3 to 5 inches long, oval in shape with an entire or slightly wavy margin, arcuately veined, green above and slightly paler below.","Species is monoecious; very small and inconspicuous tight cluster, but surrounded by 4 very showy, large, white (occasionally pink) bracts, 2 inches in diameter, appearing in mid-spring.","A shiny, oval red drupe, 1/4 to 1/2 inch long, in clusters of 3 to 5, maturing in fall.","Slender, green or purple (purple on sunlit side), later turning gray, often with a glaucous bloom.","Gray and smooth when young, turning very scaly to finely blocky.","A small tree with a short trunk that branches low, producing a slightly rounded to flat-topped crown.",Cornaceae,Cornus,COFL2,Cornus florida is native to North America. Range may be expanded by planting.,Magnoliopsida,,Cornales,Cornaceae,Cornus,Cornus florida,,,27806.0,Asteranae,,,,,,,,,,,,,,
91,,,,,,,,,,,Cornus racemosa,,91,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=821,gray dogwood,,,,,"[['red-osier dogwood', 'factsheet.cfm?ID=207'], ['roughleaf dogwood', 'factsheet.cfm?ID=852'], ['silky dogwood', 'factsheet.cfm?ID=28']]","['../images/Cornus racemosa/latin.wav', '../images/Cornus racemosa/leaf1.jpg', '../images/Cornus racemosa/flower1.jpg', '../images/Cornus racemosa/fruit1.jpg', '../images/Cornus racemosa/twig1.jpg', '../images/Cornus racemosa/bark1.jpg', '../images/Cornus racemosa/form1.jpg', '../images/Cornus racemosa/map.jpg', '../images/Cornus racemosa/map.pdf']","Opposite, simple, ovate to elliptical, entire with arcuate veins, 2 1/2 to 5 inches long, dark green above, lighter below.","Species is monoecious; small, dull white in upright racemes, about 2 inches across appearing in late early summer.","Dull white, 1/4 to 1/3 inch in diameter in rounded clusters, maturing in late summer to fall, fruit stalks remaining red well into winter.","Slender, gray to reddish brown, buds are dark brown and valvate, bud scales sharp-pointed and appear to have frosted tips, pith very light brown.",Light ashy gray and smooth when young; becoming broken into irregular blocks.,Small to medium sized shrub with numerous stems forming thickets up to 10 feet tall but generally shorter.,Cornaceae,Cornus,CORA6,Cornus racemosa is native to North America. Range may be expanded by planting.,Magnoliopsida,,Cornales,Cornaceae,Cornus,Cornus racemosa,,,501635.0,Asteranae,,,,,,,,,,,,,,
92,,,,,,,,,,,Cornus sericea,,92,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=207,red-osier dogwood,,,,,"[['Tatarian dogwood', 'factsheet.cfm?ID=950'], ['gray dogwood', 'factsheet.cfm?ID=821'], ['roughleaf dogwood', 'factsheet.cfm?ID=852'], ['silky dogwood', 'factsheet.cfm?ID=28']]","['../images/Cornus sericea/latin.wav', '../images/Cornus sericea/leaf1.jpg', '../images/Cornus sericea/flower1.jpg', '../images/Cornus sericea/fruit1.jpg', '../images/Cornus sericea/twig1.jpg', '../images/Cornus sericea/bark1.jpg', '../images/Cornus sericea/form1.jpg', '../images/Cornus sericea/map.jpg', '../images/Cornus sericea/map.pdf', '../images/Cornus sericea/fall.jpg']","Opposite, simple, arcuately veined, 2 to 4 inches long, somewhat narrow, entire margin, green above, pale below.","Species is monoecious; small, dull white in flat top clusters about 2 inches across appearing in late spring to early summer.","Dull white, 1/4 to 1/3 inch in diameter in rounded clusters.","Bright red, sometimes green splotched with red, white pith, buds narrow and tapering, flower buds more swollen.",Red to green with numerous lenticels; later developing larger cracks and splits and turning light brown.,Small to medium sized shrub with numerous stems forming thickets up to 15 feet tall but generally shorter.,Cornaceae,Cornus,COSE16,Cornus sericea is native to North America. Range may be expanded by planting.,Magnoliopsida,,Cornales,Cornaceae,Cornus,Cornus sericea,,,501637.0,Asteranae,,,,,,,Cornus sericea ssp. occidentalis,Cornus sericea ssp. sericea,,,,,,
93,,,,,,,,,,,Corylus americana,,93,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=208,American hazel,,,,,"[['beaked hazel', 'factsheet.cfm?ID=144'], ['hazel alder', 'factsheet.cfm?ID=8'], ['hophornbeam', 'factsheet.cfm?ID=62'], ['common filbert', 'factsheet.cfm?ID=964']]","['../images/Corylus americana/latin.wav', '../images/Corylus americana/leaf1.jpg', '../images/Corylus americana/flower1.jpg', '../images/Corylus americana/fruit1.jpg', '../images/Corylus americana/twig1.jpg', '../images/Corylus americana/bark1.jpg', '../images/Corylus americana/form1.jpg', '../images/Corylus americana/map.jpg', '../images/Corylus americana/map.pdf', '../images/Corylus americana/fall.jpg']","Alternate, simple, with a doubly serrated margin, broadly oval with a heart-shaped or rounded base, dark green above and paler below, 2 1/2 to 5 inches in length, petiole with stiff, glandular hairs.","Species is monoecious; males are light brown 1 to 3 inch catkins, in clusters of two or three near branch tips, opening before leaves; females are inconspicuous with only bright red stigma and styles protruding from the otherwise gray-brown buds, appearing as short, thin, red threads, early spring.","Edible brown nuts (1/2 inch diameter) enclosed in a hairy, leaf-like husk with ragged edges; initially green, ripening to a brown in late summer.","Slender, zigzag, light brown, with numerous stiff, red-glandular hairs; buds blunt, small with few scales, two-toned, light grayish brown with scales near base being darker brown.","Light grayish brown and smooth, later develops a mild criss-cross netted pattern Form: Small shrub, often in clumps reaching 12 feet in height.",,Betulaceae,Corylus,COAM3,Corylus americana is native to North America. Range may be expanded by planting.,Magnoliopsida,,Fagales,Betulaceae,Corylus,Corylus americana,,,19506.0,Rosanae,,,,,,,,,,,,,,
94,,,,,,,,,,,Corylus cornuta,,94,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=144,beaked hazel,,,,,"[['American hazel', 'factsheet.cfm?ID=208'], ['hazel alder', 'factsheet.cfm?ID=8'], ['hophornbeam', 'factsheet.cfm?ID=62'], ['thinleaf alder', 'factsheet.cfm?ID=824']]","['../images/Corylus cornuta/latin.wav', '../images/Corylus cornuta/leaf1.jpg', '../images/Corylus cornuta/flower1.jpg', '../images/Corylus cornuta/fruit1.jpg', '../images/Corylus cornuta/twig1.jpg', '../images/Corylus cornuta/bark1.jpg', '../images/Corylus cornuta/form1.jpg', '../images/Corylus cornuta/map.jpg', '../images/Corylus cornuta/map.pdf', '../images/Corylus cornuta/fall.jpg']","Alternate, simple, oval to broadly ovate, 2 to 4 inches long, doubly serrated margin, heart-shaped or rounded base; dark green and slightly fuzzy above above, paler below.","Species is monoecious; males are preformed, light brown-gray catkins (3/4 to 1 inch long) in clusters of two or three near branch tips; females are inconspicuous with only bright red stigma and styles protruding from the otherwise gray-brown buds, resemble short, thin, red threads; appearing or elongating (males) in early spring before the leaves.","Edible brown nuts (1/2 inch diameter) enclosed in bristly, leafy husk with a long protruding tube-like ""beak"" (resembles a gourd), initially green, ripening to a brown in late summer.","Slender, zigzag, light brown and hairless; buds small with few scales, two-toned, light grayish brown with scales near base being darker brown.","Light grayish brown and smooth, later develops a mild criss-cross netted pattern Form: Small suckering shrub, often in clumps reaching 6 feet in height.",,Betulaceae,Corylus,COCO6,Corylus cornuta is native to North America. Range may be expanded by planting.,Magnoliopsida,,Fagales,Betulaceae,Corylus,Corylus cornuta,,,19507.0,Rosanae,,,,,,,Corylus cornuta ssp. californica,Corylus cornuta ssp. cornuta,,,,,,
95,,,,,,,,,,,Crataegus monogyna,,95,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=990,oneseed hawthorn,,,,,"[['oceanspray', 'factsheet.cfm?ID=211'], ['Oregon crabapple', 'factsheet.cfm?ID=795']]","['../images/Crataegus monogyna/latin.wav', '../images/Crataegus monogyna/leaf1.jpg', '../images/Crataegus monogyna/flower1.jpg', '../images/Crataegus monogyna/fruit1.jpg', '../images/Crataegus monogyna/twig1.jpg', '../images/Crataegus monogyna/bark1.jpg', '../images/Crataegus monogyna/form1.jpg', '../images/Crataegus monogyna/map.jpg', '../images/Crataegus monogyna/map.pdf']","Alternate, simple, 1 to 2 inches long, obovate, serrate and deeply lobed, subtending long thorns, dark green above and paler below.","Perfect, small white flowers 1/4 to 1/2 inch, with 5 petals produced in clusters near the end of the twig, appearing in mid to late spring.","Small dark red pomes, 1/4 to 1/2 inch in diameter; maturing in the early fall.","Slender, gray; buds dark, shiny red and round; bearing obvious, stiff, 1 inch long thorns; leaf scars contain 3 bundle scars.","Smooth and red-brown when young, later turning gray and scaly.","Erect, spreading deciduous shrub or small tree 15-40’ tall.",Rosaceae,Crataegus,CRMO3,,Magnoliopsida,,Rosales,Rosaceae,Crataegus,Crataegus monogyna,Crataegus monogyna var. monogyna,,24586.0,Rosanae,,,,,,,,,,,,,,
96,,,,,,,,,,,Crataegus spp.,,96,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=45,hawthorn,,,,,"[['apple', 'factsheet.cfm?ID=59'], ['Callery pear', 'factsheet.cfm?ID=132'], ['Oregon crabapple', 'factsheet.cfm?ID=795'], ['oceanspray', 'factsheet.cfm?ID=211']]","['../images/Crataegus spp./latin.wav', '../images/Crataegus spp/leaf1.jpg', '../images/Crataegus spp/flower1.jpg', '../images/Crataegus spp/fruit1.jpg', '../images/Crataegus spp/twig1.jpg', '../images/Crataegus spp/bark1.jpg', '../images/Crataegus spp/form1.jpg', '../images/Crataegus spp/map.jpg', '../images/Crataegus spp/map.pdf', '../images/Crataegus spp/fall.jpg']","Highly variable, but generally alternate, simple, 2 to 4 inches long, serrate and lobed (may be unlobed), subtending long thorns, dark green above and paler below.","Perfect, usually small white flowers, with 5 petals produced in clusters near the end of the twig, appearing in mid to late spring.","Small pomes, generally 1/4 inch in diameter, yellow to red when mature; maturing in the early fall.","Slender, gray in color, with true terminal buds that are usually dark, shiny red and round.","Smooth and gray-brown when young, later turning darker and scaly.",Generally very dense shrubs or small trees up to 25 feet.,Rosaceae,Crataegus,CRATA,Crataegus spp. is native to North America. Range may be expanded by planting.,Magnoliopsida,,Rosales,Rosaceae,Crataegus,Crataegus spp.,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,Cyrilla racemiflora,,97,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=409,swamp cyrilla,,,,,"[['buckwheat tree', 'factsheet.cfm?ID=797'], ['summersweet clethra', 'factsheet.cfm?ID=279'], ['common sweetleaf', 'factsheet.cfm?ID=364'], ['redbay', 'factsheet.cfm?ID=302']]","['../images/Cyrilla racemiflora/latin.wav', '../images/Cyrilla racemiflora/leaf1.jpg', '../images/Cyrilla racemiflora/flower1.jpg', '../images/Cyrilla racemiflora/fruit1.jpg', '../images/Cyrilla racemiflora/twig1.jpg', '../images/Cyrilla racemiflora/bark1.jpg', '../images/Cyrilla racemiflora/form1.jpg', '../images/Cyrilla racemiflora/map.jpg', '../images/Cyrilla racemiflora/map.pdf']","Alternate, simple, evergreen or tardily deciduous, leathery, entire margins, obovate or oblong, 2 to 3 1/2 inches long, shiny green above, paler below.","Small, white occurring in narrow, elongated clusters, 3 to 6 inches long, appearing in early summer.","Dry, 2-celled capsule, 1/8 inch long, matures in early fall and persist well into the winter.","Slender to moderate, smooth, grayish brown, very small buds, and shield-shaped leaf scar with 1 bundle scar.","Initially smooth and gray-brown, on large stems it can become ridged and spongy.","Small tree up to 30 feet tall, spreading crown, often forming dense, impenetrable thickets.",Cyrillaceae,Cyrilla,CYRA,Cyrilla racemiflora is native to North America. Range may be expanded by planting.,Magnoliopsida,,Ericales,Cyrillaceae,Cyrilla,Cyrilla racemiflora,,,23449.0,Asteranae,,,,,,,,,,,,,,
