apple_name,context,juice_style,cold_hardiness_(usda),summer_average_maximum_temperatures,country_of_origin,gardening_skill,self-fertility,pollination_group,uses,picking_season,cropping,keeping_(of_fruit),pollinating_others,ploidy,vigour,precocity,bearing_regularity,fruit_bearing,general_resistance,fireblight,scab,period_of_origin,fruit_color,fruit_size,canker,mildew,cooking_result,juice_color,fruit_persistence,cedar_apple_rust,bitter_pit,awards,organic_culture,chill_requirement,treetype
Ellis Bitter cider apple tree,"Ellis Bitter is a traditional and popular English cider apple, producing a good quality mild bittersweet juice.
The fruits are relatively large by cider-apple standards.
Fill in the form below and we will notify you when Ellis Bitter cider apple tree is back in stock.
Ellis Bitter is somewhat unusual, being a heavy-cropping and fairly vigorous variety but with a strong tip-bearing tendency. Regular pruning is therefore best avoided.
Advice on fruit tree pollination.",Bittersweet (cider),(5) -20F / -29C,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",United Kingdom,Average,Not self-fertile,5.0,Hard cider,Mid,Heavy,2-3 weeks,,Diploid,Vigorous,Precocious,,Tip-bearer,Average,Some susceptibility,Some susceptibility,,Red striped,Large,,Very resistant,,,Fruit drops when ripe,,,,,,Apple Cider tree
Frequin Rouge cider apple tree,"Frequin Rouge is a traditional and important French cider variety. It produces a strong bittersharp juice.
It originates from the extreme west of France, in the region of Bretagne, but is used in all the French cider-growing areas. It is a required variety for several ""appellations"", including Cornouaille in Bretagne and Pays d'Auge in Normandie.
Fill in the form below and we will notify you when Frequin Rouge cider apple tree is back in stock.
Frequin Rouge is quite easy to grow.  It is regarded as susceptible to fireblight, canker and scab in French orchards, but the mild temperate climate of north-western France is quite different to the continental climate of much of the USA.
In traditional French orchards production on mature trees will be in the range 30-35 tonnes per hectare, which is above the average for French cider varieties.
Advice on fruit tree pollination.",Bittersweet (cider),(5) -20F / -29C,Cool ( 20-24C / 68-75F),France,Average,Not self-fertile,4.0,Hard cider,Mid,Heavy,2-3 weeks,Average,Diploid,Slightly large,Precocious,Regular,Spur-bearer,Poor,Some susceptibility,Some susceptibility,,Orange / Red,,Some susceptibility,,,,,,,,Not-suitable,,Apple Cider tree
Geneva Tremlett's cider apple tree,"Malus domestica 'Geneva Tremlett's'
Geneva Tremlett's is a hard-cider variety, almost certainly of traditional English origins (but not related to the English Tremlett's Bitter - see below).
It produces a high quality bittersharp juice, which is useful for blending with other varieties.
As with many old English cider apples, picking takes place very late in the fall.
Fill in the form below and we will notify you when Geneva Tremlett's cider apple tree is back in stock.
Customers may wonder if there is any relation between the Geneva Tremlett's variety that we sell here, and the traditional English cider variety called Tremlett's Bitter. The answer is there is no relation, and crucially for cider-making purposes, the Geneva Tremlett's is a bittersharp whereas the English variety is a bittersweet.
Nevertheless there is an unusual connection between these two varieties! For many years the USDA at Geneva, NY, maintained scionwood of the original English Tremlett's Bitter, and this was supplied to nurseries throughout the USA who wished to propagate this well-known English cider variety. However it recently came to light that this scionwood had been mis-cataloged, and was not the English Tremlett's Bitter.

The differences are quite obvious - compare our photo, top, with this photo used on our UK sister site. Note the more pointed shape of the English variety. (Sorry, we cannot ship trees from the UK to the USA because of phytosanitary restrictions).
However the ""Geneva Tremlett's"" or ""false Tremlett's"" has proved to be a good quality bittersharp cider variety in its own right (not bittersweet like the original) , and if you are looking for a bittersharp variety for your cider blends it is a good candidate.
The true identification of the Geneva Tremlett's has not been confirmed, but one possibility is that the Geneva variety is actually Skyrme's Kernel, another old English cider variety from the county of Herefordshire, rated by the Victorian pomologist Robert Hogg as ""A favourite cider apple in Herefordshire; quite in the first rank"".",Bittersharp (cider),,,United Kingdom,Average,Not self-fertile,4.0,Hard cider,Very late,,2-3 weeks,Average,Diploid,Average vigour,,,Spur-bearer,,,,1850 - 1899,Yellow / Red,Small,,,,,,,,,,,Apple Cider tree
Harrison cider apple tree,"Harrison is quite unusual, an American apple variety that was grown primarily for cider (hard or sweet). In England and France most hard-cider is produced using apple varieties grown specifically for that purpose, but the tradition in North America has been to use mainstream apples for cider production.
Harrison is also unusual in being one of the few varieties which happens to have a harmonious balance of the key elements of good cider juice - tannin (bitter), sugar (sweet), and acid (sharp). It can therefore be used to make a single-varietal cider.
Fill in the form below and we will notify you when Harrison cider apple tree is back in stock.
Harrison has an interesting history. It was well-known in the eastern states in the 18th and 19th centuries, originating from Essex County, New Jersey, but appeared to have become extinct by the start of the 20th century. It was however accurately described in old literature (particularly its distinctive yellow color), and in the late 20th century apple enthusiast Tom Burford was able to track down two old trees, from which scions have since been propagated.",Bittersweet (cider),(5) -20F / -29C,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",United States,Average,Not self-fertile,3.0,"Juice, Hard cider",Late,Good,2-3 weeks,Average,Diploid,Average vigour,,Regular,Spur-bearer,Average,,Some resistance,1750 - 1799,"Russet, Yellow",Large,,,,,Normal ripening,,,Slow Food - Ark of Taste,,,Apple Cider tree
Harry Masters Jersey cider apple tree,"Harry Masters Jersey is a traditional English cider apple variety, producing a bittersweet juice.
It comes from the county of Somerset, and was in use in the early 20th century. It is possibly a seedling of Yarlington Mill.
Fill in the form below and we will notify you when Harry Masters Jersey cider apple tree is back in stock.",Bittersweet (cider),(5) -20F / -29C,Cool ( 20-24C / 68-75F),United Kingdom,Average,Not self-fertile,4.0,Hard cider,Very late,Good,2-3 weeks,Average,Diploid,Weak growing,Precocious,Biennial tendency,Tip-bearer,Average,,Some susceptibility,1900 - 1949,Orange / Red,Average,,,,,Fruit drops when ripe,,,,,,Apple Cider tree
Kingston Black cider apple tree,"Kingston Black is one of the definitive English hard cider apple varieties and produces a very high quality bittersharp juice.
It is one of the few English varieties that can be used without blending, to make a single-varietal cider.
Note that Kingston Black cannot be eaten fresh - it is grown solely for hard cider production.
Fill in the form below and we will notify you when Kingston Black cider apple tree is back in stock.
Kingston Black takes time to start bearing, although this is less of an issue on dwarf rootstocks, however the best quality fruit tends to come from older trees. Production is variable - it can be a heavy cropper in some areas but only average in others.  It is a bit susceptible to scab, although this is not likely to be a concern for the backyard grower.
Advice on fruit tree pollination.
Kingston Black takes its name from the the town of Kingston near Taunton in Somerset, the main cider-growing area of the UK. It is thought to have arisen in the 19th century.",Bittersharp (cider),(5) -20F / -29C,Cool ( 20-24C / 68-75F),United Kingdom,Experienced,Not self-fertile,4.0,Hard cider,Very late,Light,2-3 weeks,Average,Diploid,Average vigour,Slow to start bearing,Regular,Spur-bearer,Poor,,Some susceptibility,1850 - 1899,Crimson,Average,Some susceptibility,,,,Normal ripening,Some susceptibility,,,Not-suitable,,Apple Cider tree
Major cider apple tree,"Major is a traditional English hard-cider variety, producing a full bittersweet juice.
It probably originated in the county of Devon in south-west England in the late 19th century, and was popular throughout Devon and Somerset.
Fill in the form below and we will notify you when Major cider apple tree is back in stock.",Bittersweet (cider),(4) -30F / -34C,Cool ( 20-24C / 68-75F),United Kingdom,Average,Not self-fertile,3.0,Hard cider,Mid,Good,2-3 weeks,,Diploid,Slightly large,,,Spur-bearer,Average,,Some resistance,1850 - 1899,Green - light,Small,,,,,,,,,,,Apple Cider tree
Michelin cider apple tree,"Michelin is a traditional French hard cider apple variety producing a medium bittersweet juice.
Cider apple varieties tend to remain in use primarily in their area of origin but Michelin was imported to England in the 19th century and is arguably better known and more widely grown in England than in France.
Michelin is a good choice if you are new to growing cider-apples, as it is partially self-fertile, heavy-cropping, starts bearing from a young age, and unlike many European cider varieties, tends to be a regular (rather than biennial) bearer.
Fill in the form below and we will notify you when Michelin cider apple tree is back in stock.
A reliable annual cropper, easy to grow. It is usually considered self-sterile but in practice seems to be partially self-fertile.
Advice on fruit tree pollination.
Michelin is thought to have originated in the 18th century in Normandy, France.",Bittersweet (cider),(4) -30F / -34C,Cool ( 20-24C / 68-75F),France,Beginner,Partially self-fertile,4.0,Hard cider,Late,Good,2-3 weeks,Average,Diploid,Weak growing,Precocious,Regular,Spur-bearer,Average,,Some resistance,1750 - 1799,Green - light,Small,,,,,Fruit drops when ripe,,,,,,Apple Cider tree
Muscadet de Dieppe cider apple tree,"Muscadet de Dieppe is a very old good quality French bittersweet cider variety, originally from the area around the Normandie port of Dieppe.
Fill in the form below and we will notify you when Muscadet de Dieppe cider apple tree is back in stock.",Bittersweet (cider),,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",France,Average,Not self-fertile,2.0,Hard cider,Mid,Good,2-3 weeks,Average,Diploid,,,,,Average,Some resistance,,1700 - 1749,Orange flush,Average,,,,,Normal ripening,,,,,,Apple Cider tree
Nehou cider apple tree,"An old French bittersweet cider variety.
Nehou is also a good pollinator for other apple varieties as it flowers over quite a long period.
Fill in the form below and we will notify you when Nehou cider apple tree is back in stock.",Bittersweet (cider),,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",France,Average,Not self-fertile,2.0,Hard cider,Mid,Heavy,2-3 weeks,Good,Diploid,Average vigour,Precocious,Regular,,,,Some susceptibility,1900 - 1949,,,,,,,,,,,,,Apple Cider tree
Noel des Champs cider apple tree,"Noel des Champs is a traditional French bittersweet cider apple. It is one of the authorised varieties for cider production in the Pays d'Auge.
Fill in the form below and we will notify you when Noel des Champs cider apple tree is back in stock.",Bittersweet (cider),,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",France,,,3.0,Traditional cooker,Late,,2-3 weeks,Average,Diploid,,,,,Good,,,,,,,,,,,,,,,,Apple Cider tree
Porter's Perfection cider apple tree,"Porter's Perfection is a 19th century English cider variety producing a bittersharp juice. The juice quality is very good, but it is best used as a blend with other varieties.
Fill in the form below and we will notify you when Porter's Perfection cider apple tree is back in stock.
Porter's Perfection can lapse into bienneial bearing with age. This can be addressed by heavily thinning the fruitlets in late spring in the ""on"" year. However in other respects this is an easy tree to grow, and one of the more disease-resistant of English cider varieties.
Advice on fruit tree pollination.
Somerset, England - 19th century.",Bittersharp (cider),(5) -20F / -29C,Cool ( 20-24C / 68-75F),United Kingdom,Average,Not self-fertile,3.0,Hard cider,Late,Heavy,2-3 weeks,Average,Diploid,Vigorous,,Biennial tendency,Spur-bearer,Good,,Some resistance,1800 - 1849,Orange flush,Average,Some resistance,,,,Normal ripening,,,,,,Apple Cider tree
Reine des Pommes cider apple tree,"Reine des Pommes is a well-regarded traditional French cider variety, producing a high-quality bittersweet juice.
It is usually a regular cropper, and easy to grow.  It flowers in the middle of the apple blossom season, and in its native area the apples are harvested in November.
If you are looking to add the fresh apple flavors of classic French ciders to your cider blend Reine des Pommes is an excellent choice.
Fill in the form below and we will notify you when Reine des Pommes cider apple tree is back in stock.
Reine des Pommes produces a tree of average vigor.  It grows with a spreading habit and the branches tend to droop downwards.
Advice on fruit tree pollination.
Reine des Pommes seems to have originated from the Ille et Vilaine department of Brittany in north west France, one of the main cider-growing areas.",Bittersweet (cider),,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",France,,,,Hard cider,Mid,Good,2-3 weeks,,,Average vigour,,,,,,,1800 - 1849,,,,,,,,,,,,,Apple Cider tree
Somerset Redstreak cider apple tree,"A traditional English cider apple producing a bittersweet juice. Somerset Redstreak is one of the main commercial cider varieties planted in England.
Fill in the form below and we will notify you when Somerset Redstreak cider apple tree is back in stock.
Somerset Redstreak is slightly prone to biennial bearing, fruiting more heavily in alternate years. This can be controlled by heavier thinning in the ""on"" year.
It also ripens in October in England, quite a bit earlier than the main late-season cider varieties which tend to ripen in November.
Advice on fruit tree pollination.
England, early 20th century.",Bittersweet (cider),(5) -20F / -29C,Cool ( 20-24C / 68-75F),United Kingdom,Average,Not self-fertile,5.0,Hard cider,Late,Good,2-3 weeks,Average,Diploid,Slightly large,Precocious,Biennial tendency,Spur-bearer,Average,,Some resistance,1900 - 1949,"Orange / Red, Red striped",,,,,,Normal ripening,,,,,,Apple Cider tree
Stembridge Cluster cider apple tree,"A traditional English hard cider apple from the town of Stembridge in Somerset.
Stembridge Cluster produces a full bittersweet juice.
Fill in the form below and we will notify you when Stembridge Cluster cider apple tree is back in stock.
Like many English cider varieties, Stembridge Cluster has a strong tendency towards biennial bearing.  Counter this by making sure it is not allowed over-crop.
Advice on fruit tree pollination.",Bittersweet (cider),(4) -30F / -34C,Cool ( 20-24C / 68-75F),United Kingdom,Average,Not self-fertile,2.0,Hard cider,Late,Good,2-3 weeks,Average,Diploid,Average vigour,Precocious,Biennial tendency,Spur-bearer,Average,,,1900 - 1949,Green / Red,Average,,,,,,,,,,,Apple Cider tree
Stoke Red cider apple tree,"Stoke Red is a well-regarded high quality English cider apple varieties. It adds a classic bittersharp component to cider blends, and can also be used to make a single-varietal cider.
Fill in the form below and we will notify you when Stoke Red cider apple tree is back in stock.
Stoke Red has generally good disease resistance and is fairly easy to grow. The main issue is that it blooms very late. This is useful in northern areas where late frosts can be a problem, but make sure you have a suitable pollinator variety.
Stoke Red can also lapse into biennial bearing, in other words bearing a crop only every other year. This can be avoided by ensuring that the fruitlets are thinned in early June to prevent over-cropping, which is often the trigger for a poor crop the following year.
Advice on fruit tree pollination.
Stoke Red originates from Rodney Stoke, a village in Somerset, England, before 1920.",Bittersharp (cider),(5) -20F / -29C,Cool ( 20-24C / 68-75F),United Kingdom,Average,Not self-fertile,6.0,Hard cider,Very late,Heavy,2-3 weeks,Average,Diploid,Average vigour,Slow to start bearing,Biennial tendency,Spur-bearer,Average,Some susceptibility,Very resistant,1900 - 1949,Orange / Red,,,,,,Normal ripening,,,,,,Apple Cider tree
Sweet Coppin cider apple tree,"Sweet Coppin is a good quality traditional English cider variety, producing a sweet juice which is low in tannin and acid.  It is therefore a good variety for providing sweetness to tannic or sharp blends.
Fill in the form below and we will notify you when Sweet Coppin cider apple tree is back in stock.
Sweet Coppin is a weak-growing, heavy-cropping variety - a combination that invariably leads to biennial bearing in cider apples. Counter this by thinning the fruitlets to prevent it setting an over-heavy crop.
Advice on fruit tree pollination.
Sweet Coppin originates from the south-western English county of Devon.",Sweet (cider),(5) -20F / -29C,Cool ( 20-24C / 68-75F),United Kingdom,Average,Not self-fertile,3.0,Hard cider,Very late,Light,1-3 days,Average,Diploid,Slightly small,,Biennial tendency,,Average,,,1850 - 1899,Green / Red,Large,,Some susceptibility,,,Fruit drops when ripe,,,,,,Apple Cider tree
Vilberie cider apple tree,"Vilberie is a traditional French hard-cider variety, producing a very tannic but sweet bittersweet juice.
The juice would normally be blended with juice from other varieties to produce a balanced cider.
Fill in the form below and we will notify you when Vilberie cider apple tree is back in stock.
Like a number of traditional English and French cider varieties, Vilberie is very late-blooming - in southern England or northern France it will typically flower in the last week of May. This can make cross-pollination an issue unless you have other late-flowering varieties available, although it seems to have reasonable self-fertility.
Advice on fruit tree pollination.
Vilberie is an old French variety, introduced to England in the late 19th century.",Bittersweet (cider),(5) -20F / -29C,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",France,Experienced,Partially self-fertile,6.0,Hard cider,Very late,Heavy,2-3 weeks,Average,Diploid,Slightly large,Precocious,,,Average,Some susceptibility,,1800 - 1849,Green,Average,,,,,Normal ripening,,,,,,Apple Cider tree
Yarlington Mill cider apple tree,"Yarlington Mill is a heavy-cropping traditional English cider apple variety, and quite widely grown in the English cider-producing regions. It produces a bittersweet juice.
Fill in the form below and we will notify you when Yarlington Mill cider apple tree is back in stock.
Yarlington Mill can become a biennial bearer, but this can be controlled by thinning the crop in the ""on"" year.
Advice on fruit tree pollination.
Yarlington Mill is named after the town of Yarlington, Somerset, England. It was discovered in the early 20th century.",Bittersweet (cider),(5) -20F / -29C,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",United Kingdom,Average,Not self-fertile,5.0,Hard cider,Very late,Heavy,2-3 weeks,Average,Diploid,Average vigour,Slow to start bearing,Biennial tendency,Spur-bearer,Average,Some susceptibility,Some susceptibility,1900 - 1949,Orange / Red,Average,Very resistant,,,,Fruit drops when ripe,,,,,,Apple Cider tree
