ID,name,vapage,website,phone,address,region,descr,reglatlong,times,fees,amenities,trails,shipsto
10,AmRhein's Wine Cellars,https://www.virginiawine.org/wineries/amrhein-s-wine-cellars,http://www.amrheinwine.com,540-929-4632,"9243 Patterson Drive, Bent Mountain, Virginia 24059",Virginia Mountains,"AmRhein is a German name meaning “on the Rhein” (Rhine) River. AmRhein’s Wine Cellars is a Virginia family owned and operated, estate-grown winery.  Our vineyards were first planted in 1995 and our first crush occurred in 1999. We now have three vineyards (Bent Mountain, Franklin County and Botetourt) boasting 40 acres and yielding 20 varieties of grapes. Our wines have won numerous awards, and are considered to be some of the finest on the East Coast. With over 15 wines in classic styles of both reds and whites and in our own exclusive blends, AmRhein’s tempts every palate!","(37.121057, -80.152223)","['Mon: 11:00 AM - 5:00 PM', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Mountain: Road Wine Experience ']",Tour Fee: Free,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Mountain Road Wine Experience', 'http://www.mountainroadwineexperience.com/')]","['Alabama', 'Alaska', 'Arizona', 'Arkansas', 'California', 'Colorado', 'Connecticut', 'Delaware', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Kentucky', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Michigan', 'Minnesota', 'Mississippi', 'Missouri', 'Montana', 'Nebraska', 'Nevada', 'Ohio', 'Oklahoma', 'Oregon', 'Pennsylvania', 'Tennessee', 'Texas', 'Utah', 'Vermont', 'Virginia', 'Washington', 'Wisconsin', 'Wyoming']"
11,Ankida Ridge Vineyards,https://www.virginiawine.org/wineries/ankida-ridge-vineyards,http://www.ankidaridge.com,434-922-7678,"1304 Franklin Creek Rd., Amherst, VA 24521",Central Virginia,"Virginia’s “Little Burgundy”... 
Ankida Ridge - The Vrooman Family Farm & Vineyard is a family-run, micro-boutique vineyard, farm and winery located in Amherst County at 1800 feet on the eastern slope of the Blue Ridge Mountains. We grow exclusively Pinot Noir and Chardonnay.  With our first vintage in 2010, we received international acclaim for our elegant, Burgundian style wines.  On our low-vigor, granite soils, we practice sustainable, environmentally sensitive viticulture that offers our wines a true sense of place.
A second label of wines, ""Rockgarden,"" is produced on site by our winemaker, Nathan Vrooman, from grapes purchased from area vineyards.  These hand-crafted wines are also receiving high praise.","(37.7128238, -79.1756421)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: Closed', 'Sat: 12:00 PM - 5:00 PM', 'Sun: 12:00 PM - 5:00 PM', 'Food: Available: Light Fare', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Jefferson: Heritage Trail']",Reserve Tasting Fee: 15.00,"['Features', 'Food Available', 'Light Fare', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room']","[('Jefferson Heritage Trail', 'https://jeffersonheritagetrail.com')]",
12,Arterra Wines,https://www.virginiawine.org/wineries/arterra-wines,http://www.arterrawines.com,540-422-3443,"1808 Leeds Manor Road, Delaplane, VA 20144",Northern Virginia,"Born from over a decade of experience producing some of the highest quality wines in Virginia, the Arterra Wines tasting room opened in February 2015, showcasing the wines made by Jason Murray as well as the Gallery and Studio of Hawkmoth Arts featuring beautiful one-of-a-kind fine arts by Sandy Gray-Murray.","(38.9640518, -77.9714155)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: 12:00 PM - 6:00 PM', 'Sat: 12:00 PM - 6:00 PM', 'Sun: 12:00 PM - 6:00 PM', 'Picnic: Area', 'Tasting: Room', 'Fauquier: County Wine Trail', 'Tween: Rivers Trail']",Tour Fee: $35 cellar tasting,"['Features', 'Picnic Area', 'Tasting Room']","[('Fauquier County Wine Trail', 'https://www.fauquiertourism.com/wineries.html\n'), ('Tween Rivers Trail', 'http://www.tweenriverstrail.com/')]",
13,Ashton Creek Vineyard,https://www.virginiawine.org/wineries/ashton-creek-vineyard,http://www.ashtoncreekvineyard.com,804-896-1586,"14501 Jefferson Davis Hwy, Chester, VA 23831",Central Virginia,"Ashton Creek Vineyard is a working Vineyard, Winery and Event Center.  We are open 5 days a week to the Tasting Public, serving fine Virginia wines, ciders and select foods.  Specializing in corporate and private events and featuring a relaxed and enjoyable atmosphere.","(37.3269079, -77.4063912)","['Mon: Closed', 'Tues: Closed', 'Wed: 12:00 PM - 8:00 PM', 'Thurs: 12:00 PM - 8:00 PM', 'Fri: 12:00 PM - 8:00 PM', 'Sat: 12:00 PM - 8:00 PM', 'Sun: 12:00 PM - 6:00 PM', 'Bu: s', 'Food: Available: Restaurant', 'Pet: Friendly', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop']",Tasting Fee: 15.00,"['Features', 'Bus/RV Parking', 'Food Available', 'Restaurant', 'Pet Friendly', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']",,"['Alabama', 'Alaska', 'Arizona', 'California', 'Colorado', 'District of Columbia', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Kentucky', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Minnesota', 'Missouri', 'Nebraska', 'Nevada', 'New Hampshire', 'New Mexico', 'New York', 'North Carolina', 'North Dakota', 'Ohio', 'Oklahoma', 'Oregon', 'Pennsylvania', 'South Carolina', 'Tennessee', 'Texas', 'Vermont', 'Virginia', 'Washington', 'West Virginia', 'Wisconsin', 'Wyoming']"
14,Aspen Dale Winery at The Barn,https://www.virginiawine.org/wineries/aspen-dale-winery-at-the-barn,http://www.aspendalewinery.com,(540)364-1722,"3180 Aspen Dale Lane (GPS:  11083 John Marshall Hwy), Delaplane, Virginia 20144",Northern Virginia,"Our philosophy: We strive to produce and serve excellent wine, presented in a fun and unique way. We hope to encourage you to explore the wonders of wine and food. And we aim to insure that each time you visit, you feel at home and relaxed.","(38.9078762, -77.9623541)","Monday through Thursday 11am - 5pm
Friday, Saturday 11am - 6pm
Sunday 12pm - 6pm",,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']",,
15,Barboursville Vineyards,https://www.virginiawine.org/wineries/barboursville-vineyards,http://www.bbvwine.com,(540) 832-3824,"17655 Winery Road, Barboursville, Virginia 22923",Central Virginia,"A magnificent and historic Virginia estate between Monticello and Montpelier, home to Virginia's most honored winery, founded in 1976 by a family prominent in Italian viticulture since 1821. Producer of Octagon, the most renowned red wine of Virginia.","(38.1606026, -78.2770208)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: Closed', 'Sat: Closed', 'Sun: Closed', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Food: Available: Restaurant', 'Group: Tours', 'Overnight: Stay', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Monticello: Wine Trail']",Reserve Tasting Fee: $25.00+,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Food Available', 'Restaurant', 'Group Tours', 'Overnight Stay', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]","['California', 'Florida', 'Illinois', 'Maryland', 'Massachusetts', 'Michigan', 'Minnesota', 'Oregon', 'Pennsylvania', 'Virginia', 'Washington']"
16,Barrel Oak Winery,https://www.virginiawine.org/wineries/barrel-oak-winery,http://www.barreloak.com,540-364-6402,"3623 Grove Ln, Delaplane, VIRGINIA 20144",Northern Virginia,"Relax and discover our destination winery just off I-66, one hour west of DC and a world away. Enjoy award-winning wine, sweeping historic vistas, live music, and glorious sunsets from our extensive patio and picnic grounds. Take a tour of our wine cellar or a horseback ride through our vineyards. Our family and dog-friendly winery is the perfect place to spend the day!","(38.8867632, -77.905115)","['Mon: 12:00 PM -  7:00 PM', 'Tues: 12:00 PM -  7:00 PM', 'Wed: 12:00 PM -  7:00 PM', 'Thurs: 12:00 PM -  7:00 PM', 'Fri: 12:00 PM - 10:00 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 11:00 AM -  7:00 PM', 'Food: Available: Light Fare', 'Group: Tours', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Wine: Shop', 'Fauquier: County Wine Trail', 'Vintage: Piedmont ']",Tour Fee: 0.00,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Wine Shop']","[('Fauquier County Wine Trail', 'https://www.fauquiertourism.com/wineries.html\n'), ('Vintage Piedmont', 'http://vintagepiedmont.com/')]","['Alaska', 'Arizona', 'California', 'Colorado', 'Connecticut', 'Delaware', 'Florida', 'Georgia', 'Idaho', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Michigan', 'Minnesota', 'Missouri', 'Nebraska', 'Nevada', 'Ohio', 'Oregon', 'Virginia', 'Washington', 'Wisconsin', 'Wyoming']"
17,Barren Ridge Vineyards,https://www.virginiawine.org/wineries/barren-ridge-vineyards,http://www.barrenridgevineyards.com,540-248-3300,"984 Barren Ridge Road, Fishersville, VA 22939",Shenandoah Valley,"Enjoy the sunsets over the Shenandoah Valley.  Barren Ridge Vineyards is open late with live music every Thursday, Friday and Saturday evening most weeks of the year.
Walk just a few steps into the tasting room and you can feel the Barren Ridge difference.  It’s relaxed.  There is no hustle or hard pressure sales.  It’s a place you want to spend time with friends and family. Relax, eat together and enjoy the wine.","(38.1336415, -78.9559139)","['Mon: Closed', 'Tues: Closed', 'Wed: 12:00 PM - 6:00 PM', 'Thurs: 12:00 PM - 6:00 PM', 'Fri: 12:00 PM - 6:00 PM', 'Sat: 12:00 PM - 6:00 PM', 'Sun: 1:00 PM - 6:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Shenandoah: Valley Wine Trail', 'Skyline: Wine Trail']",Tasting Fee: $8.00 - $10.00,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Shenandoah Valley Wine Trail', 'https://www.shenandoahvalleywinetrail.com'), ('Skyline Wine Trail', 'https://www.skylinewinetrail.com/')]","['Alabama', 'Alaska', 'Arizona', 'California', 'Colorado', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Minnesota', 'Missouri', 'Nebraska', 'Nevada', 'Ohio', 'Oregon', 'Pennsylvania', 'Tennessee', 'Texas', 'Virginia', 'Washington', 'Wisconsin', 'Wyoming']"
18,Beliveau Farm Winery,https://www.virginiawine.org/wineries/beliveau-farm-winery,http://www.BeliveauFarm.com,540-961-0505,"5415 Gallion Ridge Road, Blacksburg, VA 24060",Blue Ridge,"Beliveau Farm Winery is situated on 165 spectacular acres with on-site hiking, shaded picnic areas, award winning wines, and romantic lodging at the Manor House. Lite food fare is available for purchase.","(37.3160922, -80.2689263)","['Mon: Closed', 'Tues: Closed', 'Wed: 12:00 PM - 8:00 PM', 'Thurs: 12:00 PM - 6:00 PM', 'Fri: 12:00 PM - 9:00 PM', 'Sat: 12:00 PM - 6:00 PM', 'Sun: 12:00 PM - 6:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Overnight: Stay', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop']",Tasting Fee: $10.00,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Overnight Stay', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']",,"['Arizona', 'Arkansas', 'California', 'Colorado', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Minnesota', 'Missouri', 'Nebraska', 'Nevada', 'Ohio', 'Oregon', 'Pennsylvania', 'Tennessee', 'Texas', 'Virginia', 'Washington', 'Wisconsin', 'Wyoming']"
19,Big Fish Cider Co.,https://www.virginiawine.org/wineries/big-fish-cider-co,https://www.bigfishcider.com,5404682322,"59 Spruce Street, Monterey, VA 24465",Virginia Mountains,"Big Fish Cider Co is a microcidery in Monterey, Virginia making ciders using locally grown apples and traditional techniques to create completely new flavors. Our cider is available in a range of off-dry to semi-sweet blends and seasonal offerings.  Big Fish has won best in show, gold, silver and bronze awards at the Great Lakes Cider and Perry Competition.","(38.4123045, -79.5829305)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: Closed - Closed', 'Fri: 5:00 PM -  8:00 PM', 'Sat: 3:00 PM -  8:00 PM', 'Sun: 2:00 PM -  6:00 PM']",Tasting Fee: 5.00,,,
