"tree_name","treetype","context","picking_season","uses","cropping","keeping_(of_fruit)","flavor_style_(apples)","juice_style","juice_color","fruit_persistence","bitter_pit","cooking_result","gardening_skill","self-fertility","pollination_group","pollinating_others","ploidy","vigour","precocity","bearing_regularity","fruit_bearing","organic_culture","general_resistance","scab","mildew","fireblight","cedar_apple_rust","canker","woolly_aphid","cold_hardiness_(usda)","summer_average_maximum_temperatures","chill_requirement","frost_resistance_of_blossom","country_of_origin","period_of_origin","fruit_color","fruit_size","awards"
"Black Oxford apple tree","Apple tree","
Black Oxford is a handsome traditional apple from Maine. The deep crimson skin usually has an attractive bloom, which is thought to contribute to its generally good disease resistance.
As with many old heirloom varieties, Black Oxford is a versatile apple - good for winter eating, useful for cooking, and the juice has a good flavor.
Fill in the form below and we will notify you when Black Oxford apple tree is back in stock.
Black Oxford has excellent winter hardiness, and on a suitable rootstock it should be possible to grow this variety successfully in Zone 3.
Advice on fruit tree pollination.
Although the name suggests it must be an old English variety, Black Oxford is believed to originate from Oxford County in Maine, around the end of the 18th century.","Late","Eating fresh, Culinary, Juice","Light","3 months or more","Sweet/Sharp",,,,,,"Average","Not self-fertile",4,"Average","Diploid","Average vigour",,,"Spur-bearer",,"Good",,,,,,,"(3) -40F / -40C, (4) -30F / -34C, (5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C, (10) 30F / -1C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,"United States","1750 - 1799","Crimson",,
"BlondeeTM apple tree","Apple tree","
Fill in the form below and we will notify you when Blondee apple tree is back in stock.","Mid","Eating fresh",,"1-2 months",,,,,,,,,,,,,,,,,,,,,,,,"(5) -20F / -29C, (6) -10F / -23C, (8) 10F / -12C, (9) 20F / -7C, (10) 30F / -1C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States",,,,
"Blue Pearmain apple tree","Apple tree","
Blue Pearmain is an old-fashioned winter apple, named for the blue-pink color of the bloom which covers the skin in late fall.
The apples should be picked in October, and then left to ripen in storage.  They will readily keep for 2-3 months.
Fill in the form below and we will notify you when Blue Pearmain apple tree is back in stock.","Late","Eating fresh","Good","3 months or more","Sweet/Sharp",,,,,,,"Not self-fertile",3,"Average","Diploid","Average vigour",,,,,"Good",,,,,,,"(5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1800 - 1849","Red - dark","Average, Variable",
"Bramley's Seedling apple tree","Apple tree","
Bramley's Seedling is an outstanding English ""cooker"", and an essential variety for anyone interested in cooking with apples.
The reason for its versatility in the kitchen is its very high acid content, which is far higher than most traditional American cooking apples. As a result it readily cooks down to a stiff but light apple puree, which is regarded as a key requirement in English apple cookery. When cooked it has an excellent tangy sharp flavor which few other apples can match.
The copious juice also makes Bramley's Seedling valuable for juicing.  In English cider production it is used as a ""sharp"", to increase the acidity of cider blends.
Bramley's Seedling trees are well-known for being long-lived. The first tree was grown from a pip in a garden in Nottinghamshire, England, in 1809 - and amazingly this tree still survives.
Fill in the form below and we will notify you when Bramley's Seedling apple tree is back in stock.
Bramley's Seedling is a very vigorous triploid variety - it has three sets of chromosomes rather than the more usual two. Its triploid nature can be seen in the strong dark-coloured leaves, thick branches, and large apples. Bramley's Seedling is quite easy to grow, its great vigour and natural disease resistance means it usually throws off problems fairly easily.
As a triploid variety, Bramley's Seedling is not able to pollinate other apple varieties, but ironically it has attractive and prolific pink-flushed blossom. The fruit ripens late in the season, and stores very well.
Bramley's Seedling is one of the best English apples for growing in North America. Although it thrives in the cool temperate climate of an English summer, it is just as happy in hotter continental climates.
Advice on fruit tree pollination.
Bramley's Seedling was was raised from a pip by a young girl, Mary Ann Brailsford, near Nottingham, England, in 1809. The house, with the mature tree in the garden, was later sold to a Matthew Bramley who allowed cuttings to be propagated as long as his name was used. The original tree still survives - and can be seen in a video made by the BBC in 2011 (note the typical English summer weather!).
The new variety was quickly recognised as an outstanding cooking apple and by the end of the Victorian era it was widely planted in England and Northern Ireland, becoming synonymous with English apple cookery. However for the next century it remained little-known outside the UK, since European and North American growers had long preferred dual-purpose apples which could be both eaten fresh and cooked. Latterly with a resurgence in interest in apple cookery it has become well-known amongst North American apple enthusiasts and, 200 years after its birth, this remarkable ""cooker"" is increasingly recognized as one of the world's great apples varieties.
","Late","Culinary, Juice, Hard cider, Traditional cooker","Heavy","3 months or more",,"Sharper","Pale yellow","Normal ripening","Some susceptibility","Puree","Average","Not self-fertile",3,"Poor","Triploid","Slightly large, Very vigorous","Precocious","Regular","Partial tip-bearer",,,"Very resistant","Some resistance","Some resistance","Some resistance",,,"(4) -30F / -34C, (5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C, (10) 30F / -1C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Hot (>30C / 86F), Cold (< 20C / 67F)",,,"United Kingdom","1800 - 1849","Green / Red","Large","RHS Award of Garden Merit"
"Burgundy apple tree","Apple tree","
Burgundy is named after the color of its skin, which becomes a deep crimson red when fully ripe - quite an attractive apple.
It is a mid-season variety, ripening in early - mid September. The flavor is good, rather reminscent of Macoun, but like most mid-season varieties it does not keep and the flavor can be sharp in a poor year. However the apples will hang on the tree for several weeks allowing picking over an extended period.
Fill in the form below and we will notify you when Burgundy apple tree is back in stock.
Burgundy is a useful north-country apple variety, its Antonovka and Macoun parentage lending it good cold hardiness.
The main disadvantage is that it is susceptible to fireblight and cedar apple rust, and best avoided if these are prevalent in your area.
Advice on fruit tree pollination.
Burgundy was developed at the famous New York State Agriculture Experiment Station, Geneva, New York and released in the 1970s. It is descended from Antonovka and Macoun.","Mid","Eating fresh, Juice, Hard cider","Good","2-3 weeks","Sweet/Sharp",,,"Ripens over a period",,,"Average","Not self-fertile",3,"Good","Diploid","Vigorous",,"Regular","Spur-bearer",,"Poor","Some susceptibility","Some susceptibility","Very susceptible","Some susceptibility",,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1950 - 1999","Orange / Red",,
"Calville Blanc apple tree","Apple tree","
Calville Blanc is one of the world's great cooking apples, noted for its distinctive sharp spicy flavor.
It is an ancient French variety, which crossed the Atlantic early in the history of the New World and soon gained a following amongst discerning North American apple enthusiasts. It is not the best looking apple, but you grow this one for the kitchen not for the fruit bowl - it is a cooking apple of the highest quality.
Calville Blanc keeps its shape when cooked. If sliced thinly it can be used for the classic French ""tarte aux pommes"" - as found in the window of any French patisserie shop. If cut into small pieces it cooks down into a thick textured puree with a superb rich aromatic flavor. It does not keep long, and is best used within a month or so of picking.
Like many good culinary apples, Calville Blanc produces a good juice with a sharp but balanced flavor. Calville Blanc is noted for its high vitamin C content.
Fill in the form below and we will notify you when Calville Blanc apple tree is back in stock.
Calville Blanc can be grown successfully in most of the apple-growing regions of the USA. It bears fruit from an early age. In cooler regions it should be planted in a sunny location.
When grown in Europe Calville Blanc is considered a tree of slightly weak vigor but many growers in the USA find it relatively more vigorous - however in either case cropping is generally good though not spectacular.
Advice on fruit tree pollination.
Thought to have originated from Normandie in France in the early 1600s, but rapidly gained a following in England and North America.
Also known as Calville Blanc d'Hiver - translation means ""the white winter apple"".","Late","Culinary, Juice, Hard cider, Traditional cooker","Good","1-2 months","Aromatic",,,"Persistent",,"Keeps shape","Average","Not self-fertile",4,"Average","Diploid","Average vigour","Precocious","Regular","Spur-bearer",,"Average",,,,"Some susceptibility",,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"France","1550 - 1599",,,
"Chenango Strawberry apple tree","Apple tree","
Fill in the form below and we will notify you when Chenango Strawberry apple tree is back in stock.",,,,,,,,,,,,,,,,,,,,,,"Some susceptibility","Some susceptibility","Some susceptibility","Some resistance",,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,,,,,
"Chieftain apple tree","Apple tree","
Chieftain is one of those apples that is not particularly well-known, but is popular with those that grow it. It is a cross between two classic American apples, Jonathan and Delicious, and the result is a nicely-balanced apple which is still sweet like Delicious but has a bit more interesting tartness to its flavor.
Fill in the form below and we will notify you when Chieftain apple tree is back in stock.
Chieftain is reliable and easy to grow and has some natural resistance to scab and fireblight.
Advice on fruit tree pollination.
Developed at Iowa State University at the start of the 20th century, but not released until 1966.","Late","Eating fresh, Culinary","Good","1-2 months","Sweet/Sharp",,,"Normal ripening",,,"Beginner","Not self-fertile",4,"Average","Diploid","Average vigour",,"Regular","Spur-bearer",,"Good","Some resistance",,"Some resistance",,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1900 - 1949","Crimson",,
"Claygate Pearmain apple tree","Apple tree","
Claygate Pearmain is a popular English apple of the Victorian era, with the classic 'pearmain' shape. It has a soft juicy flesh with some aromatic qualities.
Fill in the form below and we will notify you when Claygate Pearmain apple tree is back in stock.
Claygate Pearmain is well-suited to the climate of the northern states. In fact this is a variety that often does better in the USA than in its native England, where summers are often too short for its liking.
Claygate Pearmain is a reliable variety, not greatly troubled by disease. The tree is of average vigour and crops well.
Advice on fruit tree pollination.
Discovered in the early 19th century by English apple enthusiast John Braddick, growing near the village of Claygate in Surrey, England. Its ancestry is unknown.","Very late","Eating fresh, Juice","Heavy","1-2 months","Aromatic",,,"Normal ripening",,,"Average","Not self-fertile",4,"Poor","Triploid","Average vigour",,"Regular","Spur-bearer",,"Good","Very resistant",,,,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United Kingdom","1800 - 1849","Orange flush",,"RHS Award of Garden Merit"
"Cortland apple tree","Apple tree","
Cortland was one of the first varieties to be developed from the popular McIntosh apple.  It is a cross between an old southern variety, Ben Davis, pollinated by McIntosh.  However as is often the case with McIntosh crosses, Cortland is very much in the McIntosh mould, with the characteristic crimson red skin and glistening sweet white flesh, although it does have a more rustic appeal than some other Mac crosses.
Cortland is a reliable and heavy-cropping variety.  The apples are generally larger than McIntosh, but the sweet perfumed flavor is similar.  Fruit quality from markets can be quite variable because Cortland does not keep especially well, but this is easily remedied by growing your own.  Although primarily an apple for eating fresh, Cortland is also useful in the kitchen, and cut slices don't brown quickly.
Redcort - shown in our main photo - is a sport of Cortland with similar characteristics but a deeper crimson skin.
Fill in the form below and we will notify you when Cortland apple tree is back in stock.
Cortland is an easy apple to grow in most cooler climates, with no particular vices.
Advice on fruit tree pollination.
Raised at the New York State Experiment Station, Geneva, 1898.  McIntosh x Ben Davis.","Late","Eating fresh, Culinary","Heavy","2-3 weeks","Sweeter",,,"Normal ripening",,"Keeps shape","Beginner","Partially self-fertile",3,"Average","Diploid","Average vigour",,"Regular","Partial tip-bearer",,"Good","Some susceptibility",,"Some susceptibility","Some susceptibility",,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,"United States","1900 - 1949","Crimson",,
"Court Pendu Plat apple tree","Apple tree","
Court Pendu Plat is one of the oldest known apples, dating back to the 1600s and possibly earlier
It has an attractive bi-colored red/orange flushed skin, and the flattened (""plat"") shape is quite distinctive.
The flesh is quite dense. The flavor is aromatic with a noticeable fruity peardrop overtone, making it useful in cider blends.
Fill in the form below and we will notify you when Court Pendu Plat apple tree is back in stock.
The key characteristic of Court Pendu Plat is its very late blooming, which makes it useful for areas with late spring frosts, and for cross-pollinating with other late-blooming varieties.
Court Pendu Plat is cold hardy and, as is often the case with very old apple varieties, has naturally good disease resistance.
Advice on fruit tree pollination.
France, 16th century.","Late","Eating fresh, Juice","Good","1-2 months","Aromatic",,,"Normal ripening",,,"Average","Not self-fertile",6,"Average","Diploid","Average vigour",,"Regular","Partial tip-bearer",,"Good","Very resistant","Very resistant",,,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,"Good resistance","France","1600 - 1649","Orange flush",,
"Cox's Orange Pippin apple tree","Apple tree","
This is the classic English apple, often regarded as the finest of all apples. It sets the benchmark for flavor in apples to which all others aspire. The aromatic complexity and depth of flavors in a good Cox's Orange Pippin are remarkable. In our personal experience pear, melon, freshly-squeezed orange juice, and mango are all readily evident in a good example.
Cox's Orange Pippin is a mid/late season variety and is probably at its best if picked when fully ripe, or picked slightly under-ripe and left in storage for a month or so - it is not a long-keeper though.
Although primarily considered a variety for eating fresh, Cox is an excellent apple for juice / cider blends as well. It is also a versatile culinary apple, with an inherently sweet flavor when baked, and is a common ingredient in English apple preserves, chutneys, and mincemeat.
Fill in the form below and we will notify you when Cox's Orange Pippin apple tree is back in stock.
The main issue with growing Cox's Orange Pippin is its relatively poor disease resistance. It can be grown without any treatments but cropping may then be lighter - which is not necessarily a bad thing because lighter crops sometimes develop better flavor.
Although forever associated with England, Cox can be grown in warm climates, and indeed seems to do better in warmer and drier conditions than are generally found in England. However enthusiasts believe (with some justification) that the unique flavor can only be fully developed in the marginal climate of a typical English summer. In North America that means Cox's Orange Pippin does best in the cooler zones. See our article on growing English apples in North America for further advice.
The bottom line is that if you are serious about apples then you absolutely must try growing Cox's Orange Pippin, because it is the benchmark for apple flavor.
Advice on fruit tree pollination.
Raised by Richard Cox, in Buckinghamshire, England, in the early 19th century. The parentage is unknown but it is possibly a seedling of Ribston Pippin.","Mid","Culinary, Juice",,,,,,"Normal ripening",,,,,,,,"Weak growing","Precocious",,"Spur-bearer",,,"Very susceptible","Some susceptibility","Some susceptibility","Some susceptibility","Very susceptible",,"(5) -20F / -29C","Cool ( 20-24C / 68-75F)",,"Susceptible","United Kingdom","1800 - 1849","Orange flush",,"RHS Award of Garden Merit"
"CrimsonTopazTM apple tree","Apple tree","
Topaz is a mid-season scab-resistant apple variety with a good balanced sweet-sharp flavor.
CrimsonTopaz is essentially an orange-flushed apple, but will readily color-up to a crimson red in climates with sunny fall days and cool nights.
The apples will hang on the tree and can be picked over an extended period. Alternatively, this is a great variety for deer and birds, and the apples will readily stay on the tree until late December.
Fill in the form below and we will notify you when CrimsonTopaz apple tree is back in stock.
CrimsonTopaz is easy to grow and has good scab-resistance. The trees are moderately vigorous and precocious.

Advice on fruit tree pollination.
CrimsonTopaz was developed by Dr. Jaroslav Tupy and his team at the Institute of Experimental Botany of the Academy of Sciences of the Czech Republic (IEB). It is a red sport of the original Topaz, which in turn has a complex ancestry, but is distantly related to Lord Lambourne and James Grieve, and seems to inherit some of the juicy tartness of these varieties.","Late","Eating fresh, Juice","Heavy","1-2 months","Sharper","Sharper",,"Persistent",,,"Beginner","Not self-fertile",3,"Average","Diploid","Slightly large","Precocious","Regular","Spur-bearer",,"Good","Very resistant","Some resistance",,,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"Czech Republic","1950 - 1999","Red - dark","Average",
